[front_panel]
mode=T2 - R2
output=20 dB
gain=25 dB
probe1=2 MHz
probe2=2 MHz

[measure]
selection=1
samplerate=1
begin=0
end=100
sound speed=2700
units=1

[ascan]
fft filter=0
fft middle=2
fft width=2
fft gate=5
cepstrum filter=0
cepstrum middle=0
cepstrum width=20
cepstrum gate=20

Depth [mm]	Amplitude	
1,642E+01	7,809E-03	
1,644E+01	7,716E-03	
1,647E+01	7,627E-03	
1,650E+01	7,548E-03	
1,652E+01	7,483E-03	
1,655E+01	7,436E-03	
1,658E+01	7,407E-03	
1,660E+01	7,397E-03	
1,663E+01	7,403E-03	
1,666E+01	7,422E-03	
1,669E+01	7,449E-03	
1,671E+01	7,477E-03	
1,674E+01	7,502E-03	
1,677E+01	7,516E-03	
1,679E+01	7,517E-03	
1,682E+01	7,500E-03	
1,685E+01	7,465E-03	
1,688E+01	7,409E-03	
1,690E+01	7,337E-03	
1,693E+01	7,252E-03	
1,696E+01	7,158E-03	
1,698E+01	7,063E-03	
1,701E+01	6,972E-03	
1,704E+01	6,892E-03	
1,706E+01	6,830E-03	
1,709E+01	6,790E-03	
1,712E+01	6,776E-03	
1,715E+01	6,789E-03	
1,717E+01	6,830E-03	
1,720E+01	6,896E-03	
1,723E+01	6,982E-03	
1,725E+01	7,084E-03	
1,728E+01	7,194E-03	
1,731E+01	7,306E-03	
1,733E+01	7,411E-03	
1,736E+01	7,502E-03	
1,739E+01	7,573E-03	
1,742E+01	7,619E-03	
1,744E+01	7,637E-03	
1,747E+01	7,625E-03	
1,750E+01	7,585E-03	
1,752E+01	7,517E-03	
1,755E+01	7,426E-03	
1,758E+01	7,318E-03	
1,760E+01	7,198E-03	
1,763E+01	7,074E-03	
1,766E+01	6,951E-03	
1,768E+01	6,837E-03	
1,771E+01	6,737E-03	
1,774E+01	6,655E-03	
1,777E+01	6,593E-03	
1,779E+01	6,553E-03	
1,782E+01	6,533E-03	
1,785E+01	6,532E-03	
1,787E+01	6,545E-03	
1,790E+01	6,568E-03	
1,793E+01	6,596E-03	
1,795E+01	6,622E-03	
1,798E+01	6,641E-03	
1,801E+01	6,649E-03	
1,804E+01	6,640E-03	
1,806E+01	6,612E-03	
1,809E+01	6,563E-03	
1,812E+01	6,491E-03	
1,814E+01	6,397E-03	
1,817E+01	6,283E-03	
1,820E+01	6,152E-03	
1,823E+01	6,007E-03	
1,825E+01	5,852E-03	
1,828E+01	5,692E-03	
1,831E+01	5,532E-03	
1,833E+01	5,376E-03	
1,836E+01	5,229E-03	
1,839E+01	5,095E-03	
1,841E+01	4,976E-03	
1,844E+01	4,876E-03	
1,847E+01	4,796E-03	
1,850E+01	4,736E-03	
1,852E+01	4,698E-03	
1,855E+01	4,681E-03	
1,858E+01	4,682E-03	
1,860E+01	4,702E-03	
1,863E+01	4,737E-03	
1,866E+01	4,785E-03	
1,868E+01	4,845E-03	
1,871E+01	4,913E-03	
1,874E+01	4,987E-03	
1,876E+01	5,065E-03	
1,879E+01	5,144E-03	
1,882E+01	5,222E-03	
1,885E+01	5,296E-03	
1,887E+01	5,365E-03	
1,890E+01	5,426E-03	
1,893E+01	5,478E-03	
1,895E+01	5,518E-03	
1,898E+01	5,544E-03	
1,901E+01	5,557E-03	
1,903E+01	5,555E-03	
1,906E+01	5,538E-03	
1,909E+01	5,507E-03	
1,912E+01	5,464E-03	
1,914E+01	5,412E-03	
1,917E+01	5,354E-03	
1,920E+01	5,294E-03	
1,922E+01	5,237E-03	
1,925E+01	5,188E-03	
1,928E+01	5,153E-03	
1,931E+01	5,135E-03	
1,933E+01	5,140E-03	
1,936E+01	5,170E-03	
1,939E+01	5,229E-03	
1,941E+01	5,316E-03	
1,944E+01	5,430E-03	
1,947E+01	5,568E-03	
1,949E+01	5,727E-03	
1,952E+01	5,899E-03	
1,955E+01	6,078E-03	
1,958E+01	6,254E-03	
1,960E+01	6,420E-03	
1,963E+01	6,566E-03	
1,966E+01	6,684E-03	
1,968E+01	6,765E-03	
1,971E+01	6,805E-03	
1,974E+01	6,798E-03	
1,976E+01	6,741E-03	
1,979E+01	6,635E-03	
1,982E+01	6,481E-03	
1,985E+01	6,282E-03	
1,987E+01	6,044E-03	
1,990E+01	5,775E-03	
1,993E+01	5,483E-03	
1,995E+01	5,176E-03	
1,998E+01	4,864E-03	
2,001E+01	4,557E-03	
2,003E+01	4,263E-03	
2,006E+01	3,992E-03	
2,009E+01	3,751E-03	
2,011E+01	3,545E-03	
2,014E+01	3,380E-03	
2,017E+01	3,260E-03	
2,020E+01	3,186E-03	
2,022E+01	3,160E-03	
2,025E+01	3,180E-03	
2,028E+01	3,246E-03	
2,030E+01	3,355E-03	
2,033E+01	3,502E-03	
2,036E+01	3,683E-03	
2,039E+01	3,894E-03	
2,041E+01	4,127E-03	
2,044E+01	4,376E-03	
2,047E+01	4,635E-03	
2,049E+01	4,896E-03	
2,052E+01	5,151E-03	
2,055E+01	5,395E-03	
2,057E+01	5,619E-03	
2,060E+01	5,818E-03	
2,063E+01	5,986E-03	
2,066E+01	6,117E-03	
2,068E+01	6,209E-03	
2,071E+01	6,258E-03	
2,074E+01	6,264E-03	
2,076E+01	6,227E-03	
2,079E+01	6,149E-03	
2,082E+01	6,034E-03	
2,084E+01	5,886E-03	
2,087E+01	5,712E-03	
2,090E+01	5,519E-03	
2,093E+01	5,314E-03	
2,095E+01	5,106E-03	
2,098E+01	4,902E-03	
2,101E+01	4,712E-03	
2,103E+01	4,541E-03	
2,106E+01	4,395E-03	
2,109E+01	4,280E-03	
2,111E+01	4,198E-03	
2,114E+01	4,150E-03	
2,117E+01	4,136E-03	
2,119E+01	4,154E-03	
2,122E+01	4,199E-03	
2,125E+01	4,268E-03	
2,128E+01	4,354E-03	
2,130E+01	4,450E-03	
2,133E+01	4,550E-03	
2,136E+01	4,647E-03	
2,138E+01	4,736E-03	
2,141E+01	4,811E-03	
2,144E+01	4,867E-03	
2,147E+01	4,903E-03	
2,149E+01	4,916E-03	
2,152E+01	4,906E-03	
2,155E+01	4,874E-03	
2,157E+01	4,823E-03	
2,160E+01	4,754E-03	
2,163E+01	4,672E-03	
2,165E+01	4,580E-03	
2,168E+01	4,483E-03	
2,171E+01	4,384E-03	
2,174E+01	4,286E-03	
2,176E+01	4,193E-03	
2,179E+01	4,107E-03	
2,182E+01	4,029E-03	
2,184E+01	3,961E-03	
2,187E+01	3,902E-03	
2,190E+01	3,853E-03	
2,192E+01	3,811E-03	
2,195E+01	3,777E-03	
2,198E+01	3,749E-03	
2,201E+01	3,726E-03	
2,203E+01	3,707E-03	
2,206E+01	3,690E-03	
2,209E+01	3,676E-03	
2,211E+01	3,663E-03	
2,214E+01	3,652E-03	
2,217E+01	3,643E-03	
2,219E+01	3,635E-03	
2,222E+01	3,629E-03	
2,225E+01	3,625E-03	
2,227E+01	3,621E-03	
2,230E+01	3,619E-03	
2,233E+01	3,616E-03	
2,236E+01	3,612E-03	
2,238E+01	3,605E-03	
2,241E+01	3,594E-03	
2,244E+01	3,578E-03	
2,246E+01	3,555E-03	
2,249E+01	3,526E-03	
2,252E+01	3,489E-03	
2,255E+01	3,446E-03	
2,257E+01	3,397E-03	
2,260E+01	3,345E-03	
2,263E+01	3,292E-03	
2,265E+01	3,242E-03	
2,268E+01	3,197E-03	
2,271E+01	3,162E-03	
2,273E+01	3,140E-03	
2,276E+01	3,135E-03	
2,279E+01	3,151E-03	
2,282E+01	3,190E-03	
2,284E+01	3,254E-03	
2,287E+01	3,345E-03	
2,290E+01	3,464E-03	
2,292E+01	3,609E-03	
2,295E+01	3,780E-03	
2,298E+01	3,974E-03	
2,300E+01	4,189E-03	
2,303E+01	4,422E-03	
2,306E+01	4,667E-03	
2,309E+01	4,920E-03	
2,311E+01	5,176E-03	
2,314E+01	5,431E-03	
2,317E+01	5,678E-03	
2,319E+01	5,913E-03	
2,322E+01	6,132E-03	
2,325E+01	6,328E-03	
